Employee_ID,Department,Gender,Age,Education_Level,Years_at_Company,Job_Role,Monthly_Income,Training_Hours,Overtime,Work_Life_Balance,Job_Satisfaction,Performance_Score,Absenteeism_Days,Promotion_in_Last_5Years
24,Sales,Male,47,Bachelor,22,Consultant,110023.6,35,No,3,4,3,6,0
25,Finance,Female,35,High School,21,Consultant,145422.82,44,Yes,2,2,1,0,1
26,Operations,Male,21,Bachelor,21,Consultant,34274.05,45,No,1,1,1,22,0
27,Operations,Male,37,Master,26,Executive,84507.91,40,Yes,2,3,3,8,0
28,IT,Male,27,Master,9,Consultant,58677.54,47,No,1,2,1,15,0
29,Finance,Female,47,Bachelor,5,Consultant,68461.19,88,No,3,1,1,4,0
30,Marketing,Female,53,Master,2,Analyst,141664.43,76,No,2,3,4,11,0
31,HR,Male,53,Bachelor,16,Executive,79689.36,48,Yes,4,4,3,26,1
32,Operations,Female,28,High School,0,Engineer,129643.61,89,No,1,1,1,8,0
33,Finance,Male,51,Master,16,Engineer,144025.7,77,Yes,3,1,1,16,0
34,Marketing,Male,51,Master,13,Manager,119218.33,58,No,1,3,5,7,0
35,Operations,Female,36,Master,12,Manager,28158.07,26,No,1,4,3,29,1
36,HR,Male,40,PhD,27,Analyst,30575.59,80,No,1,3,3,15,0
37,HR,Male,56,High School,28,Consultant,108537.0,39,No,2,4,2,26,0
38,Marketing,Male,39,PhD,6,Executive,73454.49,26,Yes,3,3,5,28,0
39,IT,Male,54,Bachelor,13,Consultant,49017.39,74,Yes,2,2,3,9,0
40,IT,Male,37,High School,7,Executive,39100.55,37,No,4,4,2,17,0
41,Sales,Male,41,High School,29,Consultant,147838.57,92,Yes,3,3,1,15,0
42,HR,Female,30,Bachelor,23,Engineer,57650.34,57,No,2,2,5,13,0
43,Marketing,Male,42,Bachelor,3,Consultant,95447.47,72,Yes,1,1,2,9,0
44,HR,Female,35,High School,6,Consultant,36763.65,60,Yes,4,3,2,19,0
45,Marketing,Female,36,PhD,11,Manager,38195.2,22,No,2,3,1,5,0
46,Operations,Male,35,Master,25,Analyst,101054.73,22,No,1,1,4,6,0
47,Sales,Female,35,PhD,9,Manager,22891.99,42,No,2,1,3,21,0
48,HR,Female,59,Bachelor,15,Consultant,79047.78,55,No,2,1,3,4,0
49,IT,Female,55,Master,10,Analyst,20613.97,38,No,4,1,2,5,0
50,Operations,Male,31,Bachelor,2,Executive,36588.99,92,No,1,2,5,7,0
51,Marketing,Female,39,Master,9,Manager,53837.27,22,No,2,4,5,28,0
52,Operations,Female,22,High School,29,Engineer,66150.43,68,No,3,3,1,10,0
53,Operations,Female,46,High School,22,Consultant,83709.64,54,No,4,2,4,22,1
54,Sales,Female,46,PhD,24,Executive,112412.38,69,Yes,1,2,5,0,0
55,HR,Female,34,Bachelor,25,Consultant,77031.65,52,Yes,4,4,1,14,0
56,Marketing,Male,43,Bachelor,14,Engineer,74033.75,79,No,4,4,5,19,0
57,Operations,Male,28,Master,17,Consultant,43263.23,82,No,1,3,1,17,0
58,Operations,Female,36,High School,14,Executive,32835.89,81,No,3,3,5,11,0
59,IT,Female,39,Bachelor,6,Analyst,133111.02,0,No,3,2,4,4,1
60,IT,Female,33,Master,17,Executive,26703.64,89,No,2,4,2,13,0
61,Operations,Female,45,High School,28,Manager,148490.79,30,No,1,3,2,8,0
62,HR,Male,21,Bachelor,19,Analyst,23111.38,43,Yes,4,4,1,5,0
63,IT,Male,28,Bachelor,26,Consultant,101037.85,76,No,3,2,2,2,0
64,Operations,Female,38,High School,24,Manager,55019.13,32,No,2,3,3,1,1
65,Sales,Male,59,Master,17,Manager,33986.18,80,No,1,3,4,5,0
66,Operations,Female,21,Bachelor,15,Engineer,35127.74,31,No,1,4,4,18,0
67,Marketing,Female,35,Master,3,Consultant,78384.61,24,Yes,3,2,2,15,0
68,Marketing,Female,37,High School,25,Consultant,26372.03,99,Yes,2,1,4,14,0
69,Sales,Female,51,Bachelor,26,Executive,69422.15,46,Yes,2,3,3,4,0
70,HR,Female,57,Bachelor,13,Consultant,20407.4,87,No,3,4,2,20,0
71,Sales,Male,42,PhD,22,Analyst,64631.63,19,No,1,4,3,16,1
72,Sales,Male,52,PhD,10,Consultant,88378.4,18,Yes,4,4,5,12,0
73,Operations,Female,43,PhD,25,Engineer,53438.65,81,Yes,4,4,3,10,0
74,Sales,Male,49,Master,16,Engineer,135179.94,92,No,2,3,1,11,0
75,Marketing,Male,49,Master,8,Executive,20568.09,38,Yes,2,1,2,27,0
76,HR,Male,26,Bachelor,16,Consultant,40333.03,85,No,1,3,3,28,1
77,IT,Female,47,High School,18,Manager,43615.52,31,No,3,1,4,9,0
78,IT,Male,39,PhD,27,Analyst,58623.87,50,Yes,3,1,1,16,0
79,Sales,Female,58,Bachelor,4,Manager,64134.42,35,No,1,3,5,10,0
80,Finance,Female,46,High School,6,Executive,74549.69,27,Yes,1,3,2,19,0
81,Finance,Male,46,PhD,7,Manager,128667.07,7,Yes,2,4,1,20,0
82,Finance,Male,44,High School,10,Analyst,32581.71,29,No,3,3,5,3,0
83,Finance,Male,25,Master,20,Manager,34104.8,66,No,4,1,2,4,0
84,Sales,Female,45,Bachelor,10,Manager,98125.58,20,Yes,1,3,4,0,0
85,Marketing,Male,39,PhD,15,Consultant,130879.7,81,Yes,2,3,2,9,0
86,Marketing,Male,42,Bachelor,14,Engineer,136718.83,95,No,4,3,5,28,0
87,IT,Female,48,Bachelor,12,Analyst,83812.47,20,No,4,3,2,21,0
88,Operations,Male,58,Bachelor,27,Analyst,38409.66,52,Yes,3,1,3,3,0
89,IT,Male,54,PhD,9,Manager,131754.0,96,No,1,2,3,20,0
90,HR,Male,25,Master,11,Analyst,142967.07,92,Yes,3,1,3,28,0
91,Marketing,Male,26,PhD,22,Analyst,102193.84,82,No,3,1,5,0,0
92,Marketing,Male,52,Bachelor,5,Analyst,30717.34,57,No,1,3,4,24,0
93,Finance,Male,35,Master,18,Manager,109430.74,17,Yes,3,3,3,3,0
94,Finance,Male,36,Bachelor,9,Manager,88137.9,65,No,3,4,5,17,0
95,Finance,Female,31,Bachelor,4,Analyst,99916.33,17,No,2,2,5,8,0
96,Finance,Female,50,High School,24,Manager,34321.98,61,Yes,3,1,1,27,0
97,IT,Female,37,Master,1,Analyst,23304.5,32,No,3,1,1,27,0
98,IT,Male,21,Bachelor,22,Engineer,41944.93,0,No,4,2,2,10,0
99,Operations,Male,34,High School,16,Manager,138460.01,3,No,2,2,5,16,0
100,Finance,Female,49,High School,17,Consultant,101232.33,81,Yes,3,1,5,20,0
101,Marketing,Female,28,High School,12,Engineer,83724.17,4,No,4,1,3,10,0
102,HR,Male,44,Bachelor,26,Executive,81531.84,65,No,3,1,5,24,0
103,Operations,Female,41,Master,11,Analyst,35029.95,15,Yes,1,2,3,21,0
104,IT,Female,24,Bachelor,24,Analyst,86132.43,47,No,1,4,4,13,0
105,Marketing,Male,44,Bachelor,7,Analyst,84226.15,3,Yes,4,2,5,5,1
106,Sales,Male,50,Bachelor,19,Engineer,145328.38,44,No,1,1,3,28,0
107,Marketing,Male,27,Bachelor,16,Consultant,141417.83,27,Yes,1,3,3,29,0
108,Finance,Female,37,Master,1,Executive,24263.11,13,No,3,3,4,8,0
109,Operations,Male,31,Bachelor,11,Manager,91954.1,5,Yes,4,3,3,25,1
110,IT,Male,52,Master,24,Manager,47662.01,29,Yes,1,2,3,6,1
111,Marketing,Male,43,PhD,1,Executive,51370.55,42,Yes,3,2,5,27,0
112,Sales,Male,33,Bachelor,14,Analyst,32626.38,56,No,1,2,1,17,0
113,HR,Male,34,Bachelor,19,Consultant,81497.37,54,No,1,4,3,10,0
114,Marketing,Female,37,Bachelor,19,Engineer,22670.4,5,No,4,2,5,9,0
115,Finance,Female,36,PhD,16,Consultant,149738.51,54,No,1,3,1,17,0
116,IT,Female,23,Master,1,Analyst,76109.19,40,No,2,3,4,10,0
117,Finance,Female,46,PhD,23,Manager,118885.44,35,Yes,1,1,5,3,0
118,Finance,Male,28,High School,8,Engineer,133127.72,42,No,3,3,1,14,0
119,Finance,Female,33,Bachelor,6,Manager,110702.93,36,No,1,1,3,21,0
120,IT,Female,54,PhD,20,Analyst,99301.8,5,Yes,2,1,2,16,0
121,HR,Female,28,Master,1,Consultant,31110.28,21,Yes,2,2,4,14,0
122,Sales,Male,27,Master,26,Analyst,69897.02,65,No,1,3,1,12,0
123,Marketing,Female,38,PhD,18,Consultant,109778.43,24,Yes,3,2,4,6,0
124,IT,Female,24,PhD,19,Consultant,87596.76,75,Yes,3,4,2,21,0
125,Marketing,Female,40,Master,10,Manager,52315.97,29,No,4,1,1,28,0
126,Marketing,Female,40,Master,15,Engineer,47321.11,74,No,2,3,5,2,0
127,Operations,Male,23,Bachelor,6,Consultant,93618.25,40,No,1,1,5,27,0
128,Operations,Male,25,PhD,8,Manager,21212.26,67,No,2,4,1,11,1
129,Finance,Female,24,PhD,25,Executive,146165.7,60,No,1,4,5,10,0
130,IT,Male,30,PhD,14,Consultant,142744.2,16,No,1,1,3,28,0
131,HR,Male,47,PhD,24,Executive,134316.01,77,Yes,1,3,4,10,0
132,IT,Female,48,Bachelor,11,Engineer,51090.98,11,Yes,2,3,2,1,0
133,Operations,Female,50,Bachelor,3,Engineer,73873.74,89,No,2,4,3,23,1
134,Sales,Female,23,Bachelor,3,Analyst,92058.97,46,No,2,2,5,25,0
135,Operations,Male,30,PhD,17,Engineer,96389.4,57,No,3,2,3,25,0
136,IT,Male,47,Bachelor,17,Engineer,95246.87,48,No,3,4,5,28,1
137,HR,Female,42,High School,13,Engineer,74705.44,15,Yes,1,3,5,11,0
138,Operations,Male,39,Master,4,Manager,55275.63,64,No,4,2,4,4,0
139,Operations,Female,46,Master,21,Executive,140756.16,74,No,1,1,2,3,0
140,HR,Male,44,Bachelor,6,Manager,106898.68,44,Yes,4,4,4,25,0
141,Finance,Female,37,High School,9,Engineer,110844.29,73,No,3,2,5,24,0
142,Finance,Female,21,Bachelor,8,Consultant,33934.21,82,Yes,3,2,3,12,0
143,Marketing,Male,52,Master,19,Consultant,65019.98,39,Yes,1,2,1,0,0
144,IT,Male,22,Master,12,Analyst,147554.38,77,No,3,1,1,11,0
145,IT,Female,21,High School,12,Engineer,71808.51,40,No,3,1,2,19,0
146,Operations,Male,59,PhD,16,Executive,139571.73,94,No,4,1,4,16,0
147,Operations,Female,33,High School,22,Analyst,141862.61,83,No,4,1,1,14,0
148,HR,Male,41,PhD,11,Manager,50934.43,18,Yes,1,3,3,24,1
149,Marketing,Male,55,Master,17,Executive,127299.16,67,No,4,2,2,18,0
150,Marketing,Male,57,High School,19,Executive,78266.25,52,No,2,4,3,24,0
151,HR,Female,23,PhD,3,Manager,85276.52,90,No,3,2,5,20,0
152,Marketing,Male,40,PhD,3,Manager,71669.93,45,Yes,4,1,2,21,0
153,Sales,Female,54,PhD,0,Consultant,139032.56,29,No,1,3,4,24,1
154,Finance,Female,49,PhD,28,Consultant,129942.8,64,Yes,2,1,5,26,0
155,Operations,Female,47,Master,21,Consultant,94684.58,11,No,2,1,1,19,0
156,IT,Female,29,PhD,21,Analyst,75291.89,21,Yes,3,1,2,10,1
157,IT,Female,52,High School,17,Executive,84373.42,62,No,1,2,4,19,1
158,Finance,Male,42,PhD,13,Manager,45784.19,1,No,2,4,5,1,0
159,Sales,Male,46,PhD,22,Engineer,127084.36,95,Yes,3,2,5,16,1
160,IT,Female,40,Bachelor,28,Manager,77673.4,19,No,3,2,5,7,0
161,Sales,Female,47,PhD,1,Manager,132084.21,77,No,2,4,3,28,0
162,Operations,Male,41,High School,21,Manager,36066.86,13,No,2,1,4,12,0
163,Finance,Male,21,PhD,20,Manager,96952.02,91,No,4,1,4,4,0
164,Sales,Female,38,PhD,24,Executive,44626.15,73,Yes,4,2,5,29,0
165,IT,Male,38,High School,20,Engineer,69293.47,80,No,3,2,4,11,0
166,Marketing,Female,53,PhD,0,Executive,141981.55,4,No,4,4,5,19,0
167,Marketing,Female,47,High School,4,Consultant,77363.89,8,Yes,2,4,1,25,0
168,Finance,Male,37,Bachelor,27,Analyst,136859.6,42,No,4,4,1,4,0
169,Sales,Male,55,Master,5,Engineer,100832.04,99,Yes,1,2,3,29,0
170,Operations,Male,55,PhD,4,Executive,102629.29,11,Yes,2,1,4,9,1
171,Marketing,Male,32,Master,13,Engineer,22081.43,76,Yes,4,1,5,26,1
172,Sales,Male,42,High School,22,Analyst,57433.71,80,No,3,2,2,18,0
173,Finance,Male,21,High School,2,Engineer,68788.39,88,No,3,3,3,15,0
174,IT,Female,58,Bachelor,1,Manager,76723.88,6,No,2,2,1,21,0
175,IT,Female,25,High School,27,Manager,46177.25,97,No,1,4,5,16,0
176,HR,Male,37,Master,8,Executive,118776.16,46,No,3,4,1,20,0
177,HR,Male,21,PhD,26,Engineer,126045.51,42,Yes,4,4,4,1,1
178,IT,Male,55,PhD,7,Analyst,62290.74,77,Yes,3,3,3,23,0
179,Finance,Female,27,High School,29,Engineer,121346.89,9,No,4,3,2,1,0
180,Marketing,Male,36,High School,11,Consultant,109275.46,22,No,4,1,2,13,1
181,IT,Female,31,PhD,14,Executive,56031.21,29,Yes,3,4,3,8,0
182,Sales,Male,36,Bachelor,11,Analyst,43813.84,93,No,4,4,2,16,0
183,Operations,Female,55,Bachelor,25,Analyst,129244.28,15,No,2,4,4,23,0
184,Finance,Male,54,High School,2,Executive,146258.8,96,Yes,2,2,3,27,0
185,Finance,Male,51,High School,2,Executive,141934.72,63,No,4,1,4,29,0
186,Finance,Male,28,PhD,19,Manager,124450.01,33,No,4,2,2,8,0
187,Operations,Female,44,Master,6,Executive,71713.38,90,No,3,4,5,3,0
188,IT,Male,32,Master,5,Manager,104173.19,30,No,3,1,1,8,0
189,Marketing,Female,26,Bachelor,16,Engineer,124860.49,22,Yes,1,2,1,7,0
190,Marketing,Female,34,PhD,29,Executive,76310.58,97,No,3,4,1,12,0
191,IT,Male,49,High School,7,Manager,47686.7,47,No,1,3,2,8,0
192,HR,Female,40,PhD,19,Analyst,65865.08,72,No,3,4,3,13,0
193,IT,Male,34,PhD,25,Consultant,56139.51,45,No,2,2,1,27,0
194,Operations,Female,42,Master,2,Analyst,68711.43,57,No,1,1,5,16,1
195,Sales,Female,32,PhD,19,Analyst,133348.96,47,No,3,4,3,11,0
196,IT,Female,31,PhD,14,Engineer,135573.49,10,No,2,2,1,10,0
197,Marketing,Male,58,Master,1,Executive,143509.46,26,No,2,3,1,6,1
198,Sales,Male,43,PhD,20,Engineer,31103.28,21,No,2,2,4,13,0
199,Operations,Male,23,Bachelor,15,Executive,21350.62,52,No,4,2,4,17,0
200,HR,Female,35,Master,13,Consultant,24399.25,12,Yes,4,1,2,6,0
201,Marketing,Female,22,PhD,22,Analyst,127076.37,8,No,2,2,2,12,0
202,Marketing,Female,27,Bachelor,15,Manager,89179.34,2,No,3,3,3,24,0
203,Operations,Female,36,PhD,21,Manager,131220.16,70,Yes,3,4,1,0,0
204,Marketing,Female,57,Bachelor,28,Consultant,126905.34,83,No,1,1,1,2,1
205,IT,Male,48,Master,16,Analyst,103853.9,34,Yes,1,1,4,11,0
206,HR,Male,22,Master,20,Manager,88071.74,43,No,4,4,3,24,0
207,Marketing,Female,35,Master,12,Analyst,122073.48,26,No,3,2,2,26,0
208,Operations,Female,57,High School,14,Executive,119878.76,78,No,4,4,5,15,0
209,Marketing,Female,21,Bachelor,8,Manager,129154.17,78,Yes,1,3,4,19,0
210,Finance,Male,40,High School,29,Manager,148924.15,8,No,2,3,3,19,0
211,Marketing,Female,23,Bachelor,29,Analyst,59028.59,69,No,2,2,4,0,0
212,Finance,Female,32,Bachelor,8,Manager,72046.79,82,No,4,2,1,20,0
213,Marketing,Female,31,Master,9,Engineer,120623.02,62,No,4,3,5,29,0
214,Marketing,Female,22,PhD,7,Consultant,72181.84,25,Yes,1,2,1,19,0
215,Sales,Male,59,Master,11,Engineer,147524.78,36,No,4,3,2,14,0
216,Finance,Male,21,High School,7,Manager,34408.37,77,Yes,3,4,3,1,0
217,Finance,Male,42,High School,27,Manager,86998.43,76,Yes,2,3,3,14,1
218,Sales,Male,23,PhD,23,Engineer,38214.63,44,Yes,1,3,5,28,0
219,Sales,Female,49,High School,13,Analyst,64153.93,95,No,3,1,2,19,0
220,Finance,Male,54,PhD,19,Consultant,38706.76,43,No,3,4,4,4,0
221,Marketing,Female,33,Master,6,Analyst,116272.46,25,No,3,2,2,29,0
222,Sales,Male,43,Master,19,Executive,83618.81,62,No,2,1,1,1,0
223,IT,Male,48,PhD,24,Analyst,23526.97,44,No,2,2,5,8,0
224,IT,Male,39,Bachelor,22,Engineer,105636.78,68,No,1,4,5,14,1
225,Finance,Male,34,High School,5,Engineer,94319.05,18,No,2,2,4,10,1
226,IT,Female,29,Bachelor,1,Engineer,94290.87,17,Yes,2,4,1,1,0
227,Operations,Male,36,Bachelor,17,Engineer,79693.79,98,No,1,2,1,7,0
228,Marketing,Male,57,High School,5,Consultant,42386.85,66,No,2,4,1,8,0
229,Marketing,Female,54,PhD,27,Consultant,146607.76,42,Yes,2,3,4,8,0
230,Sales,Female,44,PhD,0,Engineer,93851.29,55,No,2,1,2,18,0
231,Finance,Male,25,High School,12,Analyst,52039.25,68,No,4,3,3,27,0
232,HR,Female,25,Bachelor,0,Executive,21622.66,45,No,3,3,5,26,1
233,IT,Female,31,PhD,13,Consultant,119545.99,39,Yes,2,1,5,21,1
234,IT,Male,47,High School,22,Analyst,129901.13,67,Yes,3,4,4,9,0
235,Finance,Female,22,Bachelor,23,Executive,126962.97,27,No,2,3,4,20,0
236,Sales,Male,53,PhD,29,Analyst,48500.25,60,No,2,4,2,24,0
237,Marketing,Male,51,Bachelor,3,Consultant,133014.37,13,Yes,4,1,3,1,0
238,Sales,Male,23,High School,0,Consultant,69986.91,39,Yes,1,4,4,4,0
239,Operations,Male,42,Bachelor,28,Engineer,111034.39,60,No,2,2,4,11,0
240,Marketing,Male,30,PhD,16,Consultant,63566.75,39,No,4,2,3,28,0
241,Marketing,Female,52,PhD,0,Consultant,146155.91,70,No,4,1,5,16,0
242,Sales,Male,56,High School,12,Manager,85898.6,42,No,2,4,5,17,0
243,IT,Male,57,Bachelor,6,Consultant,122672.66,29,No,1,1,5,17,0
244,HR,Female,51,PhD,0,Engineer,126181.16,43,Yes,3,4,2,20,0
245,HR,Female,54,PhD,27,Engineer,78642.15,59,No,1,1,2,14,0
246,Sales,Female,52,High School,16,Engineer,108621.41,20,No,2,2,1,26,0
247,Operations,Female,22,PhD,26,Executive,30288.44,1,Yes,3,2,5,18,0
248,HR,Female,44,Master,6,Engineer,128027.37,0,Yes,2,1,3,23,0
249,Operations,Female,37,High School,13,Consultant,103444.29,52,Yes,1,2,1,15,0
250,IT,Male,56,PhD,18,Manager,97138.8,52,Yes,3,4,3,16,0
251,HR,Male,49,Master,17,Consultant,128424.11,99,No,4,3,1,20,1
252,Finance,Male,25,PhD,16,Executive,80750.29,78,Yes,4,4,2,15,0
253,Sales,Female,50,Master,12,Analyst,102654.11,46,No,3,2,3,6,0
254,Marketing,Female,34,PhD,11,Manager,125967.61,40,No,1,3,1,9,0
255,Operations,Female,53,High School,21,Executive,106591.83,66,No,2,4,5,23,0
256,Operations,Female,55,Bachelor,20,Consultant,87653.31,33,No,3,3,1,7,1
257,Sales,Male,25,High School,6,Consultant,122065.45,74,No,1,2,2,28,0
258,Marketing,Male,27,High School,14,Engineer,87763.46,53,No,2,4,4,0,0
259,Marketing,Male,28,Bachelor,19,Manager,96512.84,6,No,1,1,3,5,0
260,IT,Male,24,PhD,27,Engineer,87867.52,83,No,4,2,3,18,0
261,Finance,Female,38,Bachelor,10,Analyst,102561.87,57,No,4,2,5,19,1
262,HR,Female,37,High School,26,Executive,77533.49,28,No,2,1,5,24,0
263,Sales,Male,42,PhD,21,Executive,53543.32,24,Yes,4,2,2,8,0
264,HR,Male,53,PhD,21,Analyst,73199.03,3,No,1,2,1,15,0
265,Operations,Female,42,Bachelor,27,Analyst,124914.59,13,No,2,4,4,5,0
266,IT,Female,54,Master,18,Engineer,36290.89,32,Yes,3,2,3,9,0
267,IT,Female,30,Bachelor,16,Analyst,104557.74,16,Yes,3,1,1,20,1
268,Operations,Male,36,Master,25,Analyst,22947.78,16,No,3,1,1,20,0
269,IT,Female,45,Bachelor,24,Manager,105662.38,16,No,3,3,3,18,0
270,IT,Female,39,Master,19,Manager,102681.65,52,Yes,2,1,2,9,0
271,Finance,Female,28,Master,14,Executive,143392.91,72,Yes,4,1,1,20,0
272,Operations,Male,21,Bachelor,0,Manager,122848.3,54,No,2,3,5,24,1
273,Finance,Female,58,Bachelor,3,Executive,34245.85,69,No,2,3,5,22,0
274,Operations,Male,33,Bachelor,27,Consultant,52352.4,65,Yes,4,2,5,16,0
275,Operations,Female,34,PhD,0,Executive,59086.01,84,No,4,4,2,2,0
276,Finance,Male,32,PhD,24,Manager,33949.94,14,No,3,2,2,5,0
277,HR,Male,27,High School,24,Executive,85307.57,2,No,2,2,1,2,0
278,Marketing,Female,51,Master,17,Consultant,112793.06,24,No,2,4,4,10,1
279,HR,Female,45,PhD,1,Analyst,73866.69,55,No,2,4,5,24,0
280,IT,Male,55,Master,23,Consultant,58416.42,17,Yes,1,1,2,18,0
281,Operations,Female,26,Master,20,Manager,92903.61,94,No,3,1,3,6,0
282,Finance,Female,42,Bachelor,0,Consultant,80574.35,10,No,1,4,4,13,0
283,HR,Female,37,Bachelor,15,Consultant,144109.47,50,No,1,4,4,2,0
284,Marketing,Male,44,High School,19,Executive,146592.4,65,No,2,3,5,25,0
285,Finance,Male,48,Master,27,Consultant,142836.22,92,No,2,4,4,22,0
286,Sales,Female,38,PhD,26,Manager,95313.35,46,No,3,1,1,19,1
287,Sales,Female,36,PhD,26,Engineer,89993.96,9,No,1,3,5,22,1
288,Marketing,Male,23,Bachelor,10,Consultant,60548.23,91,No,1,3,3,9,0
289,Operations,Female,30,Master,26,Manager,116194.64,86,No,2,1,5,24,0
290,IT,Female,29,PhD,28,Manager,44971.47,72,No,2,3,1,17,0
291,HR,Male,21,PhD,25,Analyst,116631.94,42,Yes,4,2,5,18,1
292,Operations,Female,58,PhD,0,Analyst,116606.49,60,Yes,3,3,5,1,0
293,HR,Male,46,High School,29,Executive,132359.16,28,No,2,2,2,29,0
294,Marketing,Male,42,PhD,16,Executive,28335.93,83,No,1,4,4,24,0
295,Marketing,Male,49,PhD,0,Engineer,107823.73,78,No,4,4,3,7,0
296,Operations,Female,27,Bachelor,11,Consultant,66123.25,66,No,1,3,3,6,0
297,Sales,Female,30,Bachelor,12,Executive,122471.64,88,No,4,1,5,28,0
298,HR,Male,34,High School,4,Engineer,25745.19,69,No,4,4,2,2,1
299,Marketing,Female,50,Master,23,Executive,55989.29,61,Yes,2,1,2,28,0
300,Sales,Female,56,PhD,19,Analyst,134191.93,19,Yes,4,1,4,28,1
301,Marketing,Female,53,PhD,19,Executive,113767.88,39,Yes,2,4,4,18,1
302,Marketing,Female,36,PhD,18,Executive,140294.1,81,No,4,4,4,10,0
303,IT,Male,52,High School,24,Engineer,84152.99,53,Yes,1,2,4,20,0
304,IT,Male,49,Bachelor,2,Analyst,141162.29,69,No,4,1,2,1,0
305,Sales,Male,54,PhD,25,Engineer,58037.59,7,Yes,4,2,4,7,0
306,IT,Male,25,Bachelor,27,Consultant,140108.49,18,No,4,1,3,19,0
307,Marketing,Male,21,Master,7,Consultant,84550.25,76,No,2,1,5,8,0
308,Finance,Female,43,Master,0,Executive,140734.24,24,No,1,4,5,21,0
309,HR,Female,22,PhD,17,Engineer,140725.64,46,Yes,1,3,5,4,0
310,HR,Female,55,Bachelor,28,Executive,95745.17,71,Yes,1,2,4,13,0
311,Finance,Female,40,PhD,17,Analyst,65140.94,75,No,2,2,1,9,1
312,IT,Female,26,Bachelor,15,Consultant,93568.62,78,Yes,4,3,3,12,0
313,IT,Female,33,Bachelor,5,Executive,88141.87,2,No,1,4,2,28,0
314,Marketing,Male,57,PhD,10,Engineer,58319.43,37,No,3,4,3,2,0
315,Operations,Female,54,Master,25,Engineer,110104.16,70,No,1,2,3,19,0
316,HR,Male,50,High School,20,Engineer,30645.85,94,Yes,4,4,5,13,0
317,HR,Male,43,Bachelor,6,Executive,24916.24,2,No,1,2,5,14,1
318,HR,Male,33,High School,20,Manager,77070.85,57,No,4,4,1,26,0
319,HR,Female,48,Master,15,Analyst,60030.21,89,No,4,2,2,13,0
320,HR,Female,40,High School,10,Engineer,93827.01,99,Yes,4,2,1,4,1
321,Sales,Female,29,Master,17,Engineer,42454.35,0,No,1,1,2,6,0
322,IT,Female,28,PhD,11,Manager,82124.68,93,No,4,4,3,18,0
323,HR,Male,43,High School,17,Analyst,112658.97,10,No,4,3,5,22,1
324,HR,Female,27,PhD,2,Manager,128050.74,34,No,2,4,5,8,0
325,HR,Male,35,High School,19,Analyst,20193.53,81,No,4,2,5,12,0
326,IT,Female,30,Bachelor,8,Analyst,51900.31,1,Yes,4,3,5,6,0
327,IT,Male,57,Master,25,Analyst,75086.08,70,No,2,3,2,24,0
328,HR,Male,24,Bachelor,9,Engineer,50317.83,88,No,4,2,3,17,0
329,Marketing,Female,29,Master,14,Manager,103626.88,48,No,1,4,1,25,0
330,IT,Male,35,Bachelor,21,Consultant,48726.99,65,No,2,4,1,22,1
331,Finance,Female,45,High School,6,Manager,29103.5,74,No,3,2,5,17,0
332,Marketing,Female,43,PhD,5,Manager,66576.8,51,No,4,1,4,29,0
333,Operations,Female,42,PhD,4,Manager,53483.1,40,Yes,3,3,1,10,0
334,Operations,Male,38,Bachelor,5,Engineer,57935.56,7,Yes,4,2,2,15,0
